2025-09-02 19:37:34.611,192.168.137.1,224.0.0.251,UDP,5353,5353,82
2025-09-02 19:37:34.614,N/A,N/A,UDP,5353,5353,102
2025-09-02 19:37:35.634,192.168.137.1,224.0.0.251,UDP,5353,5353,82
2025-09-02 19:37:35.634,N/A,N/A,UDP,5353,5353,102
2025-09-02 19:37:37.642,192.168.137.1,224.0.0.251,UDP,5353,5353,82
2025-09-02 19:37:37.642,N/A,N/A,UDP,5353,5353,102
2025-09-02 19:38:29.964,192.168.137.1,239.255.255.250,UDP,62085,1900,179
2025-09-02 19:38:32.972,192.168.137.1,239.255.255.250,UDP,62085,1900,179
2025-09-02 19:38:35.984,192.168.137.1,239.255.255.250,UDP,62085,1900,179
2025-09-02 19:46:12.096,192.168.137.1,224.0.0.251,UDP,5353,5353,82
2025-09-02 19:46:12.479,N/A,N/A,UDP,5353,5353,102
2025-09-02 19:46:13.100,192.168.137.1,224.0.0.251,UDP,5353,5353,82
2025-09-02 19:46:13.103,N/A,N/A,UDP,5353,5353,102
2025-09-02 19:46:15.103,192.168.137.1,224.0.0.251,UDP,5353,5353,82
2025-09-02 19:46:15.105,N/A,N/A,UDP,5353,5353,102
2025-09-02 19:49:40.328,N/A,N/A,OTHER,,,90
2025-09-02 19:49:40.328,192.168.137.1,224.0.0.22,OTHER,,,54
2025-09-02 19:49:40.352,N/A,N/A,OTHER,,,90
2025-09-02 19:49:40.355,192.168.137.1,224.0.0.22,OTHER,,,54
2025-09-02 19:49:40.357,N/A,N/A,OTHER,,,90
2025-09-02 19:49:40.359,192.168.137.1,224.0.0.22,OTHER,,,54
2025-09-02 19:49:40.362,N/A,N/A,OTHER,,,90
2025-09-02 19:49:40.364,192.168.137.1,224.0.0.22,OTHER,,,54
2025-09-02 19:49:40.367,192.168.137.1,224.0.0.251,UDP,5353,5353,81
2025-09-02 19:49:40.369,N/A,N/A,UDP,5353,5353,101
2025-09-02 19:49:40.376,N/A,N/A,UDP,5353,5353,139
2025-09-02 19:49:40.379,192.168.137.1,224.0.0.251,UDP,5353,5353,81
2025-09-02 19:49:40.381,N/A,N/A,UDP,5353,5353,101
2025-09-02 19:49:40.384,N/A,N/A,UDP,5353,5353,139
2025-09-02 19:49:40.387,N/A,N/A,UDP,51023,5355,95
2025-09-02 19:49:40.389,192.168.137.1,224.0.0.251,UDP,5353,5353,119
2025-09-02 19:49:40.392,192.168.137.1,224.0.0.252,UDP,51023,5355,75
2025-09-02 19:49:40.393,192.168.137.1,224.0.0.251,UDP,5353,5353,119
2025-09-02 19:49:40.486,192.168.137.1,224.0.0.22,OTHER,,,54
2025-09-02 19:49:40.486,N/A,N/A,OTHER,,,90
2025-09-02 20:59:44.497,N/A,N/A,OTHER,,,86
2025-09-02 21:00:45.491,N/A,N/A,OTHER,,,86
2025-09-02 21:01:40.428,N/A,N/A,OTHER,,,90
2025-09-02 21:01:40.431,192.168.137.1,224.0.0.22,OTHER,,,54
2025-09-02 21:01:40.432,N/A,N/A,OTHER,,,90
2025-09-02 21:01:40.434,192.168.137.1,224.0.0.22,OTHER,,,54
2025-09-02 21:01:40.435,N/A,N/A,OTHER,,,90
2025-09-02 21:01:40.437,192.168.137.1,224.0.0.22,OTHER,,,54
2025-09-02 21:01:40.438,N/A,N/A,OTHER,,,90
2025-09-02 21:01:40.439,192.168.137.1,224.0.0.22,OTHER,,,54
